Provider_ID,Provider_Name,Hospital_CCN,Affiliation_Status
PRV000249,Provider Name 249,367364,Active
PRV000250,Provider Name 250,775717,Active
PRV000251,Provider Name 251,823734,Active
PRV000252,Provider Name 252,605620,Active
PRV000253,Provider Name 253,509043,Active
PRV000254,Provider Name 254,619520,Active
PRV000255,Provider Name 255,389249,Active
PRV000256,Provider Name 256,573028,Active
PRV000257,Provider Name 257,621441,Active
PRV000258,Provider Name 258,729591,Active
PRV000259,Provider Name 259,161807,Active
PRV000260,Provider Name 260,260196,Active
PRV000261,Provider Name 261,775627,Active
PRV000262,Provider Name 262,822182,Active
PRV000263,Provider Name 263,100706,Active
PRV000264,Provider Name 264,766775,Active
PRV000265,Provider Name 265,577200,Active
PRV000266,Provider Name 266,775627,Active
PRV000267,Provider Name 267,360506,Active
PRV000268,Provider Name 268,376126,Active
PRV000269,Provider Name 269,628308,Active
PRV000270,Provider Name 270,931521,Active
PRV000271,Provider Name 271,497468,Active
PRV000272,Provider Name 272,690345,Active
PRV000273,Provider Name 273,861417,Active
PRV000274,Provider Name 274,458016,Active
PRV000275,Provider Name 275,389741,Active
PRV000276,Provider Name 276,111161,Active
PRV000277,Provider Name 277,744995,Active
PRV000278,Provider Name 278,448026,Active
PRV000279,Provider Name 279,214549,Active
PRV000280,Provider Name 280,967381,Active
PRV000281,Provider Name 281,812123,Active
PRV000282,Provider Name 282,761217,Active
PRV000283,Provider Name 283,735645,Active
PRV000284,Provider Name 284,591652,Active
PRV000285,Provider Name 285,693002,Active
PRV000286,Provider Name 286,528245,Active
PRV000287,Provider Name 287,306744,Active
PRV000288,Provider Name 288,866150,Active
PRV000289,Provider Name 289,487479,Active
PRV000290,Provider Name 290,990632,Active
PRV000291,Provider Name 291,349723,Active
PRV000292,Provider Name 292,752547,Active
PRV000293,Provider Name 293,735991,Active
PRV000294,Provider Name 294,894043,Active
PRV000295,Provider Name 295,163080,Active
PRV000296,Provider Name 296,693880,Active
PRV000297,Provider Name 297,857343,Active
PRV000298,Provider Name 298,161292,Active
PRV000299,Provider Name 299,662590,Active
PRV000300,Provider Name 300,295591,Active
PRV000301,Provider Name 301,665041,Active
PRV000302,Provider Name 302,551505,Active
PRV000303,Provider Name 303,665041,Active
PRV000304,Provider Name 304,251323,Active
PRV000305,Provider Name 305,577571,Active
PRV000306,Provider Name 306,509043,Active
PRV000307,Provider Name 307,531411,Active
PRV000308,Provider Name 308,471789,Active
PRV000309,Provider Name 309,628308,Active
PRV000310,Provider Name 310,428790,Active
PRV000311,Provider Name 311,120981,Active
PRV000312,Provider Name 312,773360,Active
PRV000313,Provider Name 313,665041,Active
PRV000314,Provider Name 314,196597,Active
PRV000315,Provider Name 315,835839,Active
PRV000316,Provider Name 316,341576,Active
PRV000317,Provider Name 317,338959,Active
PRV000318,Provider Name 318,926792,Active
PRV000319,Provider Name 319,636505,Active
PRV000320,Provider Name 320,474138,Active
PRV000321,Provider Name 321,251323,Active
PRV000322,Provider Name 322,271376,Active
PRV000323,Provider Name 323,824786,Active
PRV000324,Provider Name 324,546061,Active
PRV000325,Provider Name 325,327512,Active
PRV000326,Provider Name 326,841419,Active
PRV000327,Provider Name 327,180556,Active
PRV000328,Provider Name 328,487479,Active
PRV000329,Provider Name 329,428790,Active
PRV000330,Provider Name 330,838464,Active
PRV000331,Provider Name 331,841419,Active
PRV000332,Provider Name 332,331915,Active
PRV000333,Provider Name 333,861417,Active
PRV000334,Provider Name 334,730066,Active
PRV000335,Provider Name 335,471789,Active
PRV000336,Provider Name 336,168989,Active
PRV000337,Provider Name 337,268190,Active
PRV000338,Provider Name 338,636505,Active
PRV000339,Provider Name 339,693063,Active
PRV000340,Provider Name 340,376292,Active
PRV000341,Provider Name 341,523868,Active
PRV000342,Provider Name 342,693706,Active
PRV000343,Provider Name 343,118748,Active
PRV000344,Provider Name 344,214549,Active
PRV000345,Provider Name 345,862557,Active
PRV000346,Provider Name 346,376126,Active
PRV000347,Provider Name 347,686502,Active
PRV000348,Provider Name 348,704846,Active
PRV000349,Provider Name 349,538143,Active
PRV000350,Provider Name 350,568959,Active
PRV000351,Provider Name 351,312918,Active
PRV000352,Provider Name 352,859317,Active
PRV000353,Provider Name 353,568959,Active
PRV000354,Provider Name 354,216641,Active
PRV000355,Provider Name 355,693880,Active
PRV000356,Provider Name 356,966377,Active
PRV000357,Provider Name 357,161292,Active
PRV000358,Provider Name 358,491226,Active
PRV000359,Provider Name 359,990355,Active
PRV000360,Provider Name 360,163659,Active
PRV000361,Provider Name 361,626897,Active
PRV000362,Provider Name 362,642023,Active
PRV000363,Provider Name 363,290362,Active
PRV000364,Provider Name 364,751491,Active
PRV000365,Provider Name 365,568550,Active
PRV000366,Provider Name 366,485541,Active
PRV000367,Provider Name 367,389741,Active
PRV000368,Provider Name 368,389741,Active
PRV000369,Provider Name 369,169790,Active
PRV000370,Provider Name 370,626897,Active
PRV000371,Provider Name 371,977429,Active
PRV000372,Provider Name 372,374329,Active
PRV000373,Provider Name 373,293985,Active
PRV000374,Provider Name 374,281722,Active
PRV000375,Provider Name 375,297361,Active
PRV000376,Provider Name 376,642023,Active
PRV000377,Provider Name 377,895913,Active
PRV000378,Provider Name 378,809646,Active
PRV000379,Provider Name 379,751491,Active
PRV000380,Provider Name 380,513462,Active
PRV000381,Provider Name 381,290362,Active
PRV000382,Provider Name 382,128507,Active
PRV000383,Provider Name 383,686502,Active
PRV000384,Provider Name 384,447435,Active
PRV000385,Provider Name 385,735645,Active
PRV000386,Provider Name 386,128507,Active
PRV000387,Provider Name 387,963748,Active
PRV000388,Provider Name 388,342869,Active
PRV000389,Provider Name 389,568550,Active
PRV000390,Provider Name 390,850027,Active
PRV000391,Provider Name 391,642624,Active
PRV000392,Provider Name 392,857343,Active
PRV000393,Provider Name 393,737608,Active
PRV000394,Provider Name 394,168851,Active
PRV000395,Provider Name 395,536486,Active
PRV000396,Provider Name 396,686502,Active
PRV000397,Provider Name 397,967381,Active
PRV000398,Provider Name 398,841419,Active
PRV000399,Provider Name 399,343413,Active
PRV000400,Provider Name 400,840952,Active
PRV000401,Provider Name 401,214210,Active
PRV000402,Provider Name 402,608720,Active
PRV000403,Provider Name 403,672577,Active
PRV000404,Provider Name 404,289046,Active
PRV000405,Provider Name 405,479798,Active
PRV000406,Provider Name 406,763164,Active
PRV000407,Provider Name 407,403468,Active
PRV000408,Provider Name 408,809646,Active
PRV000409,Provider Name 409,665041,Active
PRV000410,Provider Name 410,390226,Active
PRV000411,Provider Name 411,847801,Active
PRV000412,Provider Name 412,967381,Active
PRV000413,Provider Name 413,870780,Active
PRV000414,Provider Name 414,626897,Active
PRV000415,Provider Name 415,693002,Active
PRV000416,Provider Name 416,497468,Active
PRV000417,Provider Name 417,850027,Active
PRV000418,Provider Name 418,340983,Active
PRV000419,Provider Name 419,824786,Active
PRV000420,Provider Name 420,306744,Active
PRV000421,Provider Name 421,715093,Active
PRV000422,Provider Name 422,640135,Active
PRV000423,Provider Name 423,377558,Active
PRV000424,Provider Name 424,837737,Active
PRV000425,Provider Name 425,619520,Active
PRV000426,Provider Name 426,271376,Active
PRV000427,Provider Name 427,289046,Active
PRV000428,Provider Name 428,471583,Active
PRV000429,Provider Name 429,761217,Active
PRV000430,Provider Name 430,809646,Active
PRV000431,Provider Name 431,682278,Active
PRV000432,Provider Name 432,662590,Active
PRV000433,Provider Name 433,161292,Active
PRV000434,Provider Name 434,717641,Active
PRV000435,Provider Name 435,605620,Active
PRV000436,Provider Name 436,823734,Active
PRV000437,Provider Name 437,451012,Active
PRV000438,Provider Name 438,765848,Active
PRV000439,Provider Name 439,168851,Active
PRV000440,Provider Name 440,886126,Active
PRV000441,Provider Name 441,367120,Active
PRV000442,Provider Name 442,780838,Active
PRV000443,Provider Name 443,265010,Active
PRV000444,Provider Name 444,396893,Active
PRV000445,Provider Name 445,744995,Active
PRV000446,Provider Name 446,862557,Active
PRV000447,Provider Name 447,735991,Active
PRV000448,Provider Name 448,149189,Active
PRV000449,Provider Name 449,711704,Active
PRV000450,Provider Name 450,735991,Active
PRV000451,Provider Name 451,608720,Active
PRV000452,Provider Name 452,327512,Active
PRV000453,Provider Name 453,549651,Active
PRV000454,Provider Name 454,447435,Active
PRV000455,Provider Name 455,173952,Active
PRV000456,Provider Name 456,173952,Active
PRV000457,Provider Name 457,403468,Active
PRV000458,Provider Name 458,690345,Active
PRV000459,Provider Name 459,619251,Active
PRV000460,Provider Name 460,538780,Active
PRV000461,Provider Name 461,396893,Active
PRV000462,Provider Name 462,630647,Active
PRV000463,Provider Name 463,612947,Active
PRV000464,Provider Name 464,619251,Active
PRV000465,Provider Name 465,599819,Active
PRV000466,Provider Name 466,239289,Active
PRV000467,Provider Name 467,845788,Active
PRV000468,Provider Name 468,715093,Active
PRV000469,Provider Name 469,619520,Active
PRV000470,Provider Name 470,100706,Active
PRV000471,Provider Name 471,935133,Active
PRV000472,Provider Name 472,809646,Active
PRV000473,Provider Name 473,523868,Active
PRV000474,Provider Name 474,389741,Active
PRV000475,Provider Name 475,764083,Active
PRV000476,Provider Name 476,948073,Active
PRV000477,Provider Name 477,987009,Active
PRV000478,Provider Name 478,518635,Active
PRV000479,Provider Name 479,965434,Active
PRV000480,Provider Name 480,361159,Active
PRV000481,Provider Name 481,466597,Active
PRV000482,Provider Name 482,407520,Active
PRV000483,Provider Name 483,523868,Active
PRV000484,Provider Name 484,784462,Active
PRV000485,Provider Name 485,341478,Active
PRV000486,Provider Name 486,180556,Active
PRV000487,Provider Name 487,994601,Active
PRV000488,Provider Name 488,690008,Active
PRV000489,Provider Name 489,990632,Active
PRV000490,Provider Name 490,948285,Active
PRV000491,Provider Name 491,823734,Active
PRV000492,Provider Name 492,487349,Active
PRV000493,Provider Name 493,551505,Active
PRV000494,Provider Name 494,895551,Active
PRV000495,Provider Name 495,327512,Active
PRV000496,Provider Name 496,538780,Active
PRV000497,Provider Name 497,450142,Active
PRV000498,Provider Name 498,568550,Active
PRV000499,Provider Name 499,735645,Active
PRV000500,Provider Name 500,461128,Active
PRV000501,Provider Name 501,367120,Active
PRV000502,Provider Name 502,994601,Active
PRV000503,Provider Name 503,265010,Active
PRV000504,Provider Name 504,895913,Active
PRV000505,Provider Name 505,563895,Active
PRV000506,Provider Name 506,805621,Active
PRV000507,Provider Name 507,538143,Active
PRV000508,Provider Name 508,664264,Active
PRV000509,Provider Name 509,565422,Active
PRV000510,Provider Name 510,717641,Active
PRV000511,Provider Name 511,164611,Active
PRV000512,Provider Name 512,628308,Active
PRV000513,Provider Name 513,531411,Active
PRV000514,Provider Name 514,761217,Active
PRV000515,Provider Name 515,835839,Active
PRV000516,Provider Name 516,491226,Active
PRV000517,Provider Name 517,149189,Active
PRV000518,Provider Name 518,349723,Active
PRV000519,Provider Name 519,226882,Active
PRV000520,Provider Name 520,802103,Active
PRV000521,Provider Name 521,799747,Active
PRV000522,Provider Name 522,960295,Active
PRV000523,Provider Name 523,215820,Active
PRV000524,Provider Name 524,142866,Active
PRV000525,Provider Name 525,850027,Active
PRV000526,Provider Name 526,799747,Active
PRV000527,Provider Name 527,640853,Active
PRV000528,Provider Name 528,971841,Active
PRV000529,Provider Name 529,690008,Active
PRV000530,Provider Name 530,163659,Active
PRV000531,Provider Name 531,491226,Active
PRV000532,Provider Name 532,215820,Active
PRV000533,Provider Name 533,327512,Active
PRV000534,Provider Name 534,743427,Active
PRV000535,Provider Name 535,528245,Active
PRV000536,Provider Name 536,420354,Active
PRV000537,Provider Name 537,466597,Active
PRV000538,Provider Name 538,554066,Active
PRV000539,Provider Name 539,281722,Active
PRV000540,Provider Name 540,886126,Active
PRV000541,Provider Name 541,693880,Active
PRV000542,Provider Name 542,690008,Active
PRV000543,Provider Name 543,420354,Active
PRV000544,Provider Name 544,817500,Active
PRV000545,Provider Name 545,898960,Active
PRV000546,Provider Name 546,784462,Active
PRV000547,Provider Name 547,491803,Active
PRV000548,Provider Name 548,568550,Active
PRV000549,Provider Name 549,819533,Active
PRV000550,Provider Name 550,403468,Active
PRV000551,Provider Name 551,990355,Active
PRV000552,Provider Name 552,215479,Active
PRV000553,Provider Name 553,458016,Active
PRV000554,Provider Name 554,982992,Active
PRV000555,Provider Name 555,805621,Active
PRV000556,Provider Name 556,110927,Active
PRV000557,Provider Name 557,334297,Active
PRV000558,Provider Name 558,657675,Active
PRV000559,Provider Name 559,531411,Active
PRV000560,Provider Name 560,271376,Active
PRV000561,Provider Name 561,297361,Active
PRV000562,Provider Name 562,866680,Active
PRV000563,Provider Name 563,250848,Active
PRV000564,Provider Name 564,164611,Active
PRV000565,Provider Name 565,448026,Active
PRV000566,Provider Name 566,520009,Active
PRV000567,Provider Name 567,599819,Active
PRV000568,Provider Name 568,642023,Active
PRV000569,Provider Name 569,174197,Active
PRV000570,Provider Name 570,664264,Active
PRV000571,Provider Name 571,420366,Active
PRV000572,Provider Name 572,471789,Active
PRV000573,Provider Name 573,142866,Active
PRV000574,Provider Name 574,349728,Active
PRV000575,Provider Name 575,799747,Active
PRV000576,Provider Name 576,977429,Active
PRV000577,Provider Name 577,840952,Active
PRV000578,Provider Name 578,857343,Active
PRV000579,Provider Name 579,271376,Active
PRV000580,Provider Name 580,823734,Active
PRV000581,Provider Name 581,163080,Active
PRV000582,Provider Name 582,748281,Active
PRV000583,Provider Name 583,111161,Active
PRV000584,Provider Name 584,748281,Active
PRV000585,Provider Name 585,577571,Active
PRV000586,Provider Name 586,822182,Active
PRV000587,Provider Name 587,568959,Active
PRV000588,Provider Name 588,161292,Active
PRV000589,Provider Name 589,665041,Active
PRV000590,Provider Name 590,850027,Active
PRV000591,Provider Name 591,288500,Active
PRV000592,Provider Name 592,866680,Active
PRV000593,Provider Name 593,608720,Active
PRV000594,Provider Name 594,144794,Active
PRV000595,Provider Name 595,372624,Active
PRV000596,Provider Name 596,799747,Active
PRV000597,Provider Name 597,460218,Active
PRV000598,Provider Name 598,538780,Active
PRV000599,Provider Name 599,281722,Active
PRV000600,Provider Name 600,822182,Active
PRV000601,Provider Name 601,466597,Active
PRV000602,Provider Name 602,817500,Active
PRV000603,Provider Name 603,336450,Active
PRV000604,Provider Name 604,458480,Active
PRV000605,Provider Name 605,293985,Active
PRV000606,Provider Name 606,293985,Active
PRV000607,Provider Name 607,213458,Active
PRV000608,Provider Name 608,458163,Active
PRV000609,Provider Name 609,631224,Active
PRV000610,Provider Name 610,642624,Active
PRV000611,Provider Name 611,180556,Active
PRV000612,Provider Name 612,626897,Active
PRV000613,Provider Name 613,521605,Active
PRV000614,Provider Name 614,360506,Active
PRV000615,Provider Name 615,771996,Active
PRV000616,Provider Name 616,173952,Active
PRV000617,Provider Name 617,374329,Active
PRV000618,Provider Name 618,878896,Active
PRV000619,Provider Name 619,301533,Active
PRV000620,Provider Name 620,837737,Active
PRV000621,Provider Name 621,628308,Active
PRV000622,Provider Name 622,624667,Active
PRV000623,Provider Name 623,463200,Active
PRV000624,Provider Name 624,376292,Active
PRV000625,Provider Name 625,763164,Active
PRV000626,Provider Name 626,342869,Active
PRV000627,Provider Name 627,271376,Active
PRV000628,Provider Name 628,546872,Active
PRV000629,Provider Name 629,376292,Active
PRV000630,Provider Name 630,601911,Active
PRV000631,Provider Name 631,630647,Active
PRV000632,Provider Name 632,971841,Active
PRV000633,Provider Name 633,360506,Active
PRV000634,Provider Name 634,163080,Active
PRV000635,Provider Name 635,626897,Active
PRV000636,Provider Name 636,485541,Active
PRV000637,Provider Name 637,744995,Active
PRV000638,Provider Name 638,630647,Active
PRV000639,Provider Name 639,376292,Active
PRV000640,Provider Name 640,817500,Active
PRV000641,Provider Name 641,342869,Active
PRV000642,Provider Name 642,902573,Active
PRV000643,Provider Name 643,215820,Active
PRV000644,Provider Name 644,389741,Active
PRV000645,Provider Name 645,974968,Active
PRV000646,Provider Name 646,170175,Active
PRV000647,Provider Name 647,196597,Active
PRV000648,Provider Name 648,389741,Active
PRV000649,Provider Name 649,577571,Active
PRV000650,Provider Name 650,173952,Active
PRV000651,Provider Name 651,626897,Active
PRV000652,Provider Name 652,265010,Active
PRV000653,Provider Name 653,868802,Active
PRV000654,Provider Name 654,849370,Active
PRV000655,Provider Name 655,251323,Active
PRV000656,Provider Name 656,367120,Active
PRV000657,Provider Name 657,693063,Active
PRV000658,Provider Name 658,428790,Active
PRV000659,Provider Name 659,536486,Active
PRV000660,Provider Name 660,866150,Active
PRV000661,Provider Name 661,372624,Active
PRV000662,Provider Name 662,338959,Active
PRV000663,Provider Name 663,389621,Active
PRV000664,Provider Name 664,491226,Active
PRV000665,Provider Name 665,934460,Active
PRV000666,Provider Name 666,260196,Active
PRV000667,Provider Name 667,902573,Active
PRV000668,Provider Name 668,562186,Active
PRV000669,Provider Name 669,509043,Active
PRV000670,Provider Name 670,704846,Active
PRV000671,Provider Name 671,156542,Active
PRV000672,Provider Name 672,260196,Active
PRV000673,Provider Name 673,501820,Active
PRV000674,Provider Name 674,334297,Active
PRV000675,Provider Name 675,491226,Active
PRV000676,Provider Name 676,664264,Active
PRV000677,Provider Name 677,657675,Active
PRV000678,Provider Name 678,640135,Active
PRV000679,Provider Name 679,338959,Active
PRV000680,Provider Name 680,471789,Active
PRV000681,Provider Name 681,118748,Active
PRV000682,Provider Name 682,948073,Active
PRV000683,Provider Name 683,177564,Active
PRV000684,Provider Name 684,520009,Active
PRV000685,Provider Name 685,372624,Active
PRV000686,Provider Name 686,144794,Active
PRV000687,Provider Name 687,612947,Active
PRV000688,Provider Name 688,837737,Active
PRV000689,Provider Name 689,921503,Active
PRV000690,Provider Name 690,337684,Active
PRV000691,Provider Name 691,542894,Active
PRV000692,Provider Name 692,626897,Active
PRV000693,Provider Name 693,756765,Active
PRV000694,Provider Name 694,599440,Active
PRV000695,Provider Name 695,752547,Active
PRV000696,Provider Name 696,775627,Active
